id,value
1,51892898.83475584
2,89288418.33431125
4,81853421.75104174
5,84206679.15618171
6,60620257.51266935
10,70944544.4624598
11,59500144.81761582
15,79647029.73195219
17,67664092.39244756
23,60509611.2803667
25,71768833.0110278
28,63932972.45501192
31,75140756.53552473
35,46176709.93224818
39,21643759.96367324
40,26618073.67746754
43,60811207.956742555
48,52024436.01502368
51,36088555.15859572
55,54934009.256616145
56,54942234.14155465
57,35928105.85144308
61,50696803.620029315
62,49479902.164441325
69,37691281.25391512
70,31395141.824728645
71,36836215.211314574
74,43914893.64172455
80,44254870.478121206
82,43393229.76857983
84,40472328.09799017
85,39178058.23722123
88,38925257.277976066
90,33859777.93819353
91,32838538.250916887
95,31206483.991523918
101,32980208.09556356
104,14702618.490101026
111,32748824.55779312
113,32074715.0585212
116,42171360.7942591
120,35678788.154653445
122,37811038.39486508
130,29131056.546390094
136,32000934.684781373
138,28477870.736785598
141,22315863.229560025
144,27579535.424507067
146,22730173.264023107
147,19275244.944630817
150,18610266.535305355
151,29722057.37069512
152,6273489.287395432
158,21953109.711421333
159,28139831.016960464
160,28281792.562866494
162,32589813.458303984
168,30822091.260270644
172,28442608.682080638
177,26738016.754091725
181,28371492.094484538
183,33929328.76533229
184,32521043.969382662
186,29361770.178015377
187,32683868.98598078
192,30172861.21597431
193,30906534.307812653
194,22587643.112497684
200,23331682.49831828
201,12630495.486365072
204,25260625.841850724
206,28982132.9711695
208,25949441.828846566
219,19814061.933843344
221,10299796.304607479
227,29302132.648031764
231,6656317.494086209
233,29704644.54783111
235,27245703.504388757
237,21028998.234300192
238,25167901.04105445
239,25469586.9103585
255,20968035.315845966
258,21134988.406694792
260,23312328.33983836
272,22711012.587056734
273,19851895.486996252
275,26921792.170325894
279,18929124.705921642
281,22311856.22578327
284,21457229.32412687
286,20268273.04459462
292,19376967.257142257
300,12679746.964839764
301,11565969.7314771
303,14394525.448739678
304,20307071.826831125
315,7995265.4554988295
318,2091060.1513836994
320,17289024.06827114
322,21120880.34147001
323,25550225.275631033
326,25171872.273403086
328,25371282.40674648
337,21984627.468636107
339,20068900.32159087
342,20654871.12779683
343,23885868.07972871
360,17330358.743568163
364,20387653.93914618
365,17362278.60783993
367,19514431.80051887
368,15638044.404333487
369,13161983.56329783
372,16084201.108097112
376,19585052.53207271
379,17294117.71435352
380,22104505.868123606
383,15040783.24562649
385,10489779.423013233
386,13717025.52531134
390,16085213.306518072
391,15920572.385782458
393,16225377.354226222
400,9206811.811438419
403,8184675.695376201
413,21579801.658904232
416,20649352.962104686
423,15995776.934498088
424,17238319.944907017
426,13956950.17309507
427,18891056.878947914
428,13318223.462776044
429,19688203.51849091
431,11963622.124568606
432,17938292.883648556
433,17141983.020356882
439,8867912.214355644
443,16227861.761242097
444,19616197.549050204
446,19149132.5507055
449,19220010.20912195
456,17054658.194991983
457,13634268.08033534
464,14007159.129347013
468,17467194.029441442
472,12156405.415091177
474,16372504.047568224
483,11875448.829773346
488,13522323.121953748
494,13230633.496407218
499,9242132.551700454
505,11807534.843906969
506,14544423.46025833
510,13048279.866344333
511,10797839.056009095
512,5807721.055111587
517,10006571.10532502
521,13398453.417640055
522,9069984.809943408
523,13140736.816900562
526,11997180.695260035
531,10006571.10532502
540,1950910.7531745587
547,5800152.919901133
555,17509395.040096886
556,18125604.53887047
563,3611658.0461974973
564,18398136.552023552
566,9734980.7132654
573,9395057.72138792
574,17552963.94438605
581,16951600.919047195
588,12257649.350397129
590,15702965.36680672
591,15938537.61034001
595,15238866.539777016
596,13465742.82821025
597,16580890.899186257
599,14317642.935720634
600,10061840.868293468
602,11481163.605130859
603,14491977.29477713
606,16001724.541836852
613,10745777.874808848
615,11876992.787955893
620,16509985.227030037
623,12001818.213791389
624,10087407.002346674
628,10467702.722889226
630,13421875.122196544
635,14613233.436467212
636,13776332.77302299
638,15656932.25511162
662,10008759.290203543
664,11000796.60945924
665,10512973.715928175
670,13106327.212023564
672,12415498.248296425
677,12099466.122768242
680,11479984.279212607
695,8587122.775781738
705,8473791.183572251
713,4960261.736796515
716,3545691.2828867156
717,5585670.326535048
720,13887691.233012052
723,12650995.787981836
